make,model,version,price,fuel,year,kms,shift,is_professional,dealer,province,publish_date,insert_date
33,158,1595,452,1,31,1770,1,1,2130,7,1007,0
26,567,1309,673,5,40,5,2,1,2240,50,1012,2
26,585,1317,278,5,33,1051,2,1,2561,7,2210,33
33,158,1597,196,1,25,1985,2,0,566,46,389,24
54,131,3048,454,1,36,1041,2,1,1715,6,1400,16
16,247,931,352,1,36,1120,2,1,1145,45,4961,63
54,341,3181,62,1,22,1904,2,1,1097,0,308,33
53,333,2997,485,1,23,2001,2,1,1044,7,4704,52
38,78,1893,421,7,33,1638,1,0,1682,29,555,30
5,472,361,615,1,36,1440,1,1,1978,38,4289,56
33,156,1567,352,1,28,1717,1,0,1687,7,111,3
33,161,1619,791,1,37,959,2,1,2147,21,2995,58
16,247,919,375,5,37,911,2,1,2100,44,2096,12
37,417,1862,701,1,39,397,2,1,2057,46,2468,22
37,417,1863,740,1,41,0,2,1,2783,29,4296,42
54,305,3177,278,1,35,1849,2,0,731,44,1534,4
54,519,3356,688,5,39,346,2,1,2237,44,4458,50
26,345,1261,42,5,25,1384,1,1,2767,17,3336,32
41,530,2615,65,5,28,1600,2,0,710,25,3580,56
38,191,1960,425,5,40,4,2,1,2222,39,2456,25
54,272,3132,649,1,35,1425,2,1,2554,38,2579,21
16,243,887,355,5,36,552,2,1,2460,40,3377,49
54,273,3147,253,1,29,1350,2,0,142,4,1180,4
38,354,2043,40,1,25,1895,2,0,1682,7,806,4
41,370,2546,485,5,39,226,1,1,1544,31,3114,24
30,328,1384,837,5,27,1642,1,0,524,29,1574,32
26,585,1321,312,5,37,991,2,0,1630,2,984,7
5,468,322,424,1,35,1040,2,1,2466,35,3072,23
15,223,811,234,1,31,1753,2,0,289,44,4773,56
8,112,631,411,1,36,1203,1,1,1390,29,1114,13
39,21,2181,616,1,38,1600,1,1,1235,23,3410,32
3,9,43,355,5,8,1602,2,0,569,41,4025,42
39,11,2119,58,5,20,1632,2,0,1619,30,1692,28
33,150,1485,518,1,36,1589,2,1,2457,1,2166,16
39,13,2093,155,5,29,1016,2,0,392,29,396,54
41,370,2528,40,1,25,1777,2,0,742,7,2469,39
1,270,25,609,1,37,1188,2,1,1067,12,3891,41
38,83,1945,158,1,28,1784,2,0,477,16,562,34
37,401,1833,51,1,23,1862,2,0,186,40,2945,31
5,558,446,944,1,39,371,1,1,1365,7,4150,44
41,175,2406,274,1,35,1088,2,1,1533,29,3771,42
33,120,1470,985,5,40,359,1,1,2886,29,1909,4
5,470,340,524,1,36,1038,2,1,2706,5,4558,54
40,142,2360,1050,1,36,922,1,1,1860,5,4083,63
53,87,2962,136,1,27,2010,2,1,2647,7,3659,38
29,435,1359,816,1,37,622,1,1,2469,8,3308,27
29,434,1345,1090,1,37,78,1,1,1706,36,4501,48
38,290,2016,988,7,40,78,1,1,2484,29,1426,21
54,502,3308,718,1,39,515,2,1,2773,26,4371,50
35,121,1720,489,1,36,1451,2,1,833,31,3268,26
16,286,974,769,1,40,7,2,1,1991,29,1841,4
45,299,2695,350,5,38,297,2,1,1978,38,1866,9
54,528,3367,489,1,34,1181,2,1,887,18,4272,58
35,342,1737,289,1,33,1481,2,0,51,29,4791,59
5,472,359,715,1,37,1003,1,1,2000,18,1481,11
53,188,2979,116,1,26,1763,2,1,1511,29,2318,10
5,561,465,1053,1,37,1460,1,1,2311,1,2489,20
45,299,2734,97,1,24,1986,2,1,1969,7,4576,58
35,342,1746,516,1,36,548,2,1,1033,44,4530,58
21,414,1197,588,1,37,1304,1,1,2441,5,97,10
41,176,2410,0,5,17,1971,2,0,112,41,2554,62
39,13,2135,202,1,31,1408,2,1,2477,18,3344,55
53,86,2955,289,6,33,1668,1,1,2053,7,2471,13
16,447,1044,132,1,28,2001,2,0,452,17,2913,23
8,111,616,244,5,36,1052,2,0,197,25,90,0
29,436,1377,1116,1,40,105,1,1,2527,25,3392,47
5,472,372,516,1,35,1600,2,1,2203,15,3734,47
5,472,314,218,5,21,1723,2,0,1682,24,99,12
39,14,2168,343,5,38,261,2,1,1595,7,4330,59
45,517,2802,86,5,22,1808,2,0,375,5,2871,20
33,152,1541,893,5,35,897,1,1,366,7,3357,27
53,405,3005,617,1,40,5,2,1,2788,14,351,13
55,566,3446,967,1,36,981,1,1,1525,44,2405,51
15,36,780,421,6,40,89,2,1,2118,29,1819,2
16,520,1051,754,1,37,99,2,1,835,40,1504,12
16,243,897,227,5,37,800,2,1,2377,25,1599,5
33,164,1634,1091,1,38,177,1,1,2364,29,4293,53
16,247,922,649,1,39,189,2,1,2374,18,3868,51
53,101,2972,585,5,37,647,1,1,1979,44,4811,55
33,152,1512,59,1,17,2078,2,0,1485,15,1679,25
38,191,1955,22,1,14,1795,2,0,55,9,1184,33
33,147,1473,452,1,37,1008,2,1,2473,7,1465,12
24,568,1219,625,1,36,1189,1,1,1018,29,1398,43
41,312,2482,682,5,39,384,1,1,1576,6,3707,46
53,89,2970,187,5,33,893,2,1,1970,29,4390,55
41,175,2422,358,5,38,410,2,0,1872,0,156,23
15,40,794,421,5,36,853,2,1,1035,22,2735,26
5,473,406,1106,5,37,532,1,1,2423,2,4312,48
37,417,1834,286,1,31,1775,2,0,1792,30,580,8
3,57,136,568,1,35,993,2,1,1014,44,2280,17
5,472,314,203,1,26,1784,2,0,114,28,596,57
16,362,1008,278,1,29,885,2,0,658,7,1583,33
3,60,223,1067,1,40,18,1,1,1022,0,1936,26
40,53,2347,751,5,18,1068,1,0,502,7,2618,47
3,63,233,325,1,24,1842,1,1,2062,2,2125,8
35,342,1737,196,1,28,1961,2,0,159,32,487,3
41,137,2390,506,1,39,278,2,1,2840,48,3235,28
38,191,1988,576,5,37,858,2,0,1403,46,3975,49
45,299,2716,165,5,29,850,2,0,639,29,1031,43
15,408,832,250,1,37,1317,2,1,2462,46,3713,42
16,243,895,504,5,39,25,2,1,1985,4,1410,3
46,381,2842,359,1,35,1576,2,1,912,29,1386,9
29,436,1374,863,1,35,1772,1,1,1853,23,4636,50
32,351,1443,375,5,36,1573,2,1,1947,29,1429,15
33,167,1641,383,1,27,1839,1,1,968,40,1715,2
53,101,2972,690,6,39,665,1,1,1593,29,1954,10
36,363,1763,326,1,27,1896,2,0,605,5,213,3
